image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/610Hvq1ZK7L.jpg,866516,depth,13.0 centimetre
https://m.media-amazon.com/images/I/51XBqR9TSgL.jpg,219199,depth,12.0 inch
https://m.media-amazon.com/images/I/51MBgwS+ERL.jpg,546242,depth,29.0 centimetre
https://m.media-amazon.com/images/I/611c4x3I14L.jpg,931247,depth,3.0 foot
https://m.media-amazon.com/images/I/512AmZFmZHL.jpg,675317,depth,62.0 millimetre
https://m.media-amazon.com/images/I/61EVGr8BnEL.jpg,178778,depth,22.0 centimetre
https://m.media-amazon.com/images/I/51RpcQW+B7L.jpg,156839,depth,90.0 inch
https://m.media-amazon.com/images/I/51pgFTrxU8S.jpg,178778,depth,26.5 centimetre
https://m.media-amazon.com/images/I/51bx1udrxDL.jpg,916768,depth,16.91 centimetre
https://m.media-amazon.com/images/I/51zK0fRcfRL.jpg,261683,depth,170.0 millimetre
https://m.media-amazon.com/images/I/61AP+DnIf9L.jpg,653767,depth,20.0 inch
https://m.media-amazon.com/images/I/51WWJR+sa1L.jpg,214328,depth,31.8 millimetre
https://m.media-amazon.com/images/I/41GJFUoT-GL.jpg,675317,depth,2.25 inch
https://m.media-amazon.com/images/I/51StmmVFuUL.jpg,284992,depth,34.0 centimetre
https://m.media-amazon.com/images/I/51RbHGFFmyL.jpg,329793,depth,3.82 inch
https://m.media-amazon.com/images/I/51Da7DVjwJL.jpg,991868,depth,19.5 centimetre
https://m.media-amazon.com/images/I/514TrSZ0dtL.jpg,460806,depth,52.0 millimetre
https://m.media-amazon.com/images/I/41B-eW5pQ7L.jpg,276700,depth,15.0 inch
https://m.media-amazon.com/images/I/414y++4E5FL.jpg,242256,depth,200.0 centimetre
https://m.media-amazon.com/images/I/61-TMaPWhsL.jpg,597647,depth,10.0 inch
https://m.media-amazon.com/images/I/6199nCajfvL.jpg,574059,depth,30.0 centimetre
https://m.media-amazon.com/images/I/51MrDRPglaL.jpg,609588,depth,22.0 centimetre
https://m.media-amazon.com/images/I/61E5zAbeROL.jpg,816782,depth,100.0 centimetre
https://m.media-amazon.com/images/I/51qpwOHv6JL.jpg,141308,depth,15.0 centimetre
https://m.media-amazon.com/images/I/5184Ah4Xc2L.jpg,865691,depth,29.0 centimetre
https://m.media-amazon.com/images/I/616kgTc+waL.jpg,278696,depth,8.0 inch
https://m.media-amazon.com/images/I/51MRfzxAbdL.jpg,991868,depth,50.0 centimetre
https://m.media-amazon.com/images/I/51k0CWlXPML.jpg,524117,depth,4.3 inch
https://m.media-amazon.com/images/I/618jEa1RMTL.jpg,470067,depth,9.84 inch
https://m.media-amazon.com/images/I/615DZgpe-LS.jpg,178778,depth,30.0 centimetre
https://m.media-amazon.com/images/I/61GBSPgzQIL.jpg,119607,depth,16.0 inch
https://m.media-amazon.com/images/I/41ixH5o9WiL.jpg,842895,depth,18.25 centimetre
https://m.media-amazon.com/images/I/51UTVaEISTL.jpg,488964,depth,26.8 centimetre
https://m.media-amazon.com/images/I/51oL4FTklDL.jpg,944592,depth,4.4 inch
https://m.media-amazon.com/images/I/41i7MC2rWUL.jpg,245959,depth,10.0 inch
https://m.media-amazon.com/images/I/51-HhGdZaIL.jpg,724384,depth,9.0 centimetre
https://m.media-amazon.com/images/I/51IsnjzM7vL.jpg,210293,depth,18.5 centimetre
https://m.media-amazon.com/images/I/618uppcIHSL.jpg,783898,depth,250.0 millimetre
https://m.media-amazon.com/images/I/51XTuDrjo-L.jpg,941818,depth,60.0 centimetre
https://m.media-amazon.com/images/I/612K-fZMwnL.jpg,532323,depth,29.5 centimetre
https://m.media-amazon.com/images/I/617pIE7ktGL.jpg,488964,depth,168.0 centimetre
https://m.media-amazon.com/images/I/614+sId9qwL.jpg,991868,depth,140.0 centimetre
https://m.media-amazon.com/images/I/61DiLVxBVbL.jpg,675317,depth,2.75 inch
